"Distance","Season","Day","Replica","nsp","abu","bio","spor","sumb","lmer","soff"
"Far","Spring",4,4,2,11,1354.6,363.6,0,0,0
"Far","Spring",4,5,7,26,3578.5,306.5,0,1237.2,124.1
"Far","Spring",4,6,3,7,1602.5,0,0,593.6,373.8
"Far","Spring",5,1,6,19,3128.1,274.8,0,475.4,916
"Far","Spring",5,2,4,16,3436.5,0,137.6,0,871.8
"Far","Spring",5,3,3,23,5726.7,0,0,995,2007.7
"Far","Spring",5,4,7,29,4299,86.2,67.4,1024.5,0
"Far","Spring",5,5,6,16,3135.3,17.4,0,793.4,407.5
"Far","Spring",5,6,3,10,1439.1,0,0,178.3,0
"Far","Spring",6,1,5,10,2774.4,71.8,0,0,1208.5
"Far","Spring",6,2,5,11,2958.7,325.3,0,0,0
"Far","Spring",6,3,5,16,3039.2,283.6,197.3,0,951.3
"Far","Spring",6,4,6,18,3164,281.4,0,905.9,0
"Far","Spring",6,5,4,13,1766,245.9,0,156.4,327.8
"Far","Spring",6,6,2,16,2526.7,0,0,356.6,0
